IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.91.20.105,2052,2052,false,NRT,Asia Pacific,Tokyo,80,4.23
47.91.14.47,80,80,false,NRT,Asia Pacific,Tokyo,73,4.23
8.219.103.126,2095,2095,false,SIN,Asia Pacific,Singapore,6,4.22
47.236.83.239,2087,2087,true,SIN,Asia Pacific,Singapore,77,4.22
8.219.206.53,8080,8080,false,SIN,Asia Pacific,Singapore,32,4.22
47.74.0.183,2095,2095,false,NRT,Asia Pacific,Tokyo,87,4.22
8.209.242.25,8880,8880,false,NRT,Asia Pacific,Tokyo,76,4.22
47.236.84.196,443,443,true,SIN,Asia Pacific,Singapore,79,4.22
47.243.107.148,2053,2053,true,HKG,Asia Pacific,Hong Kong,65,4.22
8.218.119.115,8880,8880,false,HKG,Asia Pacific,Hong Kong,35,4.22
47.76.33.40,2096,2096,true,HKG,Asia Pacific,Hong Kong,87,4.21
47.243.161.235,2095,2095,false,HKG,Asia Pacific,Hong Kong,41,4.21
8.222.237.131,8443,8443,true,SIN,Asia Pacific,Singapore,130,4.21
8.217.121.254,2053,2053,true,HKG,Asia Pacific,Hong Kong,58,4.21
47.236.116.26,2086,2086,false,SIN,Asia Pacific,Singapore,9,4.21
8.222.209.223,80,80,false,SIN,Asia Pacific,Singapore,6,4.21
8.218.149.193,2082,2082,false,HKG,Asia Pacific,Hong Kong,59,4.21
8.218.142.253,80,80,false,HKG,Asia Pacific,Hong Kong,51,4.21
8.219.201.174,2082,2082,false,SIN,Asia Pacific,Singapore,10,4.20
8.218.105.223,8880,8880,false,HKG,Asia Pacific,Hong Kong,42,4.20
47.236.111.174,443,443,true,SIN,Asia Pacific,Singapore,108,4.20
8.219.93.5,8880,8880,false,SIN,Asia Pacific,Singapore,10,4.20
47.236.112.218,443,443,true,SIN,Asia Pacific,Singapore,106,4.20
8.219.153.44,2087,2087,true,SIN,Asia Pacific,Singapore,72,4.20
47.74.27.94,2086,2086,false,NRT,Asia Pacific,Tokyo,77,4.19
47.74.16.67,2095,2095,false,NRT,Asia Pacific,Tokyo,72,4.19
8.218.8.142,8880,8880,false,HKG,Asia Pacific,Hong Kong,69,4.19
8.222.159.252,2095,2095,false,SIN,Asia Pacific,Singapore,9,4.19
47.243.95.28,8080,443,true,HKG,Asia Pacific,Hong Kong,56,4.19
8.222.208.38,2083,2083,true,SIN,Asia Pacific,Singapore,76,4.18
47.76.37.57,2052,2052,false,HKG,Asia Pacific,Hong Kong,48,4.18
8.219.111.175,2052,2052,false,SIN,Asia Pacific,Singapore,12,4.18
47.74.3.2,2096,2096,true,NRT,Asia Pacific,Tokyo,136,4.18
8.219.93.5,80,80,false,SIN,Asia Pacific,Singapore,11,4.18
